الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
73.4684,73.4432,72.27,آداب,"جامعة سوسةكلية الآداب  والعلوم الإنسانية  بسوسة",الإجازة  في الفرنسية30103
122.4366,0,0,رياضيات,,
133.16,124.09,133.5895,علوم تجريبية,,
73.545,74.4987,72.3467,إقتصاد وتصرف,,
99.1409,127.1642,111.1142,العلوم التقنية,,
94.0218,96.805,93.3965,علوم الإعلامية,,
135.495,108.505,82.9635,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
90.1783,106.4198,101.64,آداب,"جامعة المنستيرالمعهد العالي للغات بالمكنين",الإجازة  في الإنقليزية34102
146.7398,0,141.3898,رياضيات,,
148.3074,123.5904,146.3225,علوم تجريبية,,
82.4403,87.6831,83.6501,إقتصاد وتصرف,,
122.38,130.3421,114.0888,العلوم التقنية,,
102.3082,114.2332,128.2235,علوم الإعلامية,,
160.65,164.8014,138.78,رياضة,,
70.9,71.1284,76.133,آداب,"جامعة المنستيرالمعهد العالي للغات بالمكنين",الإجازة  في الفرنسية34103
0,0,0,رياضيات,,
120.515,131.79,128.3091,علوم تجريبية,,
87.1134,83.795,81.1484,إقتصاد وتصرف,,
88.5958,86.2536,161.982,العلوم التقنية,,
103.345,110.1458,97.5319,علوم الإعلامية,,
135.9382,86.9932,0,رياضة,,
92.8066,112.9279,87.3399,آداب,"جامعة المنستيرالمعهد العالي للغات بالمكنين",الإجازة  في الإسبانية34104
0,160.393,118.265,رياضيات,,
181.3276,135.1999,117.4505,علوم تجريبية,,
98.6844,90.9866,97.4038,إقتصاد وتصرف,,
0,121.1294,107.8079,العلوم التقنية,,
118.5293,107.895,0,علوم الإعلامية,,
0,0,0,رياضة,,
106.7075,106.9038,103.7616,آداب,"جامعة المنستيرالمعهد العالي للغات بالمكنين",الإجازة  في الإيطالية34105
0,0,117.9711,رياضيات,,
154.6792,135.5,111.8365,علوم تجريبية,,
112.8743,110.3919,90.8682,إقتصاد وتصرف,,
0,128.015,122.4669,العلوم التقنية,,
100.4631,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
89.6609,97.6232,84.1969,آداب,"جامعة المنستيرالمعهد العالي للغات بالمكنين",الإجازة  في الألمانية34106
106.3415,120.1022,117.4539,رياضيات,,
117.4366,150.3564,127.69,علوم تجريبية,,
81.71,95.1908,89.4343,إقتصاد وتصرف,,
115.512,112.925,113.3201,العلوم التقنية,,
110.29,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
103.3383,108.815,101.6632,آداب,"جامعة المنستيرالمعهد العالي للغات بالمكنين",الإجازة  في الترجمة34147
96.398,104.1817,137.9605,رياضيات,,
127.7348,134.7933,127.2217,علوم تجريبية,,
79.862,81.476,79.1274,إقتصاد وتصرف,,
110.9329,112.1417,118.4855,العلوم التقنية,,
117.0667,115.9817,116.235,علوم الإعلامية,,
87.0115,164.8683,178.6454,رياضة,,
93.5,92.435,89.9482,آداب,"جامعة صفاقسكلية الآداب  والعلوم الإنسانية  بصفاقس",الإجازة  في العربية40101
0,0,0,رياضيات,,
100.8483,120.0057,112.775,علوم تجريبية,,
84.8233,81.705,89.455,إقتصاد وتصرف,,
89.56,0,0,علوم الإعلامية,,
92.6553,100.8417,96.4116,آداب,"جامعة صفاقسكلية الآداب  والعلوم الإنسانية  بصفاقس",الإجازة  في الإنقليزية40102
109.785,141.3256,120.5941,رياضيات,,
134.8254,138.0621,132.4393,علوم تجريبية,,
73.5919,70.275,69.9851,إقتصاد وتصرف,,
132.8673,117.6519,132.8566,العلوم التقنية,,
99.67,92.2616,105.9115,علوم الإعلامية,,
164.58,117.42,95.2085,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
71.9667,77.9452,69.7251,آداب,"جامعة صفاقسكلية الآداب  والعلوم الإنسانية  بصفاقس",الإجازة  في الفرنسية40103
0,0,0,رياضيات,,
119.4582,123.7081,119.091,علوم تجريبية,,
77.0383,79.2648,76.7333,إقتصاد وتصرف,,
104.5907,94.465,122.355,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,160.2753,0,رياضة,,
81.6268,79.9066,77.8966,آداب,"جامعة صفاقسكلية الآداب  والعلوم الإنسانية  بصفاقس",الإجازة  في الإسبانية40104
108.7603,0,0,رياضيات,,
132.29,138.8486,126.3456,علوم تجريبية,,
90.3816,87.0534,78.8625,إقتصاد وتصرف,,
0,114.04,111,العلوم التقنية,,
106.695,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
89.8497,84.8935,73.5553,آداب,"جامعة صفاقسكلية الآداب  والعلوم الإنسانية  بصفاقس",الإجازة  في الإيطالية40105
0,0,0,رياضيات,,
128.7906,105.8252,117.5021,علوم تجريبية,,
83.4085,84.235,74.1402,إقتصاد وتصرف,,
84.8551,0,116.8029,العلوم التقنية,,
109.49,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
95.3348,100.7219,95.235,آداب,"جامعة صفاقسكلية الآداب  والعلوم الإنسانية  بصفاقس",الإجازة  في الترجمة40147
0,0,0,رياضيات,,
137.0224,132.2806,126.7362,علوم تجريبية,,
80.5325,72.4305,74.7669,إقتصاد وتصرف,,
114.4186,113.3487,116.9421,العلوم التقنية,,
86.1962,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
97.7301,96.3001,92.3033,آداب,"جامعة قابسالمعهد العالي للغات بقابس",الإجازة  في العربية50101
0,0,180.84,رياضيات,,
115.02,118.3688,120.3,علوم تجريبية,,
88.7688,81.9432,78.9251,إقتصاد وتصرف,,
0,0,0,علوم الإعلامية,,
96.2815,97.9853,92.54,آداب,"جامعة قابسالمعهد العالي للغات بقابس",الإجازة  في الإنقليزية50102
0,123.3443,0,رياضيات,,
143.6636,144.4875,140.8388,علوم تجريبية,,
80.4711,88.0935,86.6686,إقتصاد وتصرف,,
89.6667,129.454,112.9883,العلوم التقنية,,
100.115,120.115,110.355,علوم الإعلامية,,
133.8249,157.8839,0,رياضة,,
78.0382,65.8264,72.8902,آداب,"جامعة قابسالمعهد العالي للغات بقابس",الإجازة  في الفرنسية50103
0,0,0,رياضيات,,
112.4074,122.7932,104.2448,علوم تجريبية,,
76.377,72.9316,75.7467,إقتصاد وتصرف,,
69.2016,107.1284,82.1369,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
95.18,113.38,0,رياضة,,
86.4301,99.6652,85.8515,آداب,"جامعة قابسالمعهد العالي للغات بقابس",الإجازة  في الإسبانية50104
0,0,0,رياضيات,,
131.3657,135.9756,116.227,علوم تجريبية,,
88.7101,85.6143,0,إقتصاد وتصرف,,
0,0,0,العلوم التقنية,,
0,106.5667,0,علوم الإعلامية,,
0,0,0,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
95.403,105.1168,98.9136,آداب,"جامعة قابسالمعهد العالي للغات بقابس",الإجازة  في الإيطالية50105
0,0,0,رياضيات,,
115.8776,125.7999,103.5424,علوم تجريبية,,
101.1381,104.6193,114.062,إقتصاد وتصرف,,
89.625,100,87.2049,العلوم التقنية,,
101.4882,0,0,علوم الإعلامية,,
0,0,0,رياضة,,
99.5207,102.18,85.9834,آداب,"جامعة قابسالمعهد العالي للغات بقابس",الإجازة  في الألمانية50106
107.9807,0,0,رياضيات,,
129.7555,146.6596,142.6471,علوم تجريبية,,
92.6934,77.5642,98.201,إقتصاد وتصرف,,
113.9336,117.611,114.7147,العلوم التقنية,,
0,0,107.775,علوم الإعلامية,,
0,0,0,رياضة,,
95.2265,90.84,84.6116,آداب,"جامعة قابسالمعهد العالي للعلوم الإنسانية  بمدنين",الإجازة  في العربية54101
0,0,0,رياضيات,,
156.541,110.0117,0,علوم تجريبية,,
83.5918,95.765,80.6984,إقتصاد وتصرف,,
104.695,0,0,علوم الإعلامية,,
77.2503,77.8635,73.0135,آداب,"جامعة قابسالمعهد العالي للعلوم الإنسانية  بمدنين",الإجازة  في الإنقليزية54102
0,0,0,رياضيات,,
140.8816,129.3149,116.7049,علوم تجريبية,,
73.8485,83.4726,88.1319,إقتصاد وتصرف,,
114.775,110.6032,117.9532,العلوم التقنية,,
109.3348,0,0,علوم الإعلامية,,
0,0,117.5288,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
88.1132,71.2099,75.2785,آداب,"جامعة قابسالمعهد العالي للعلوم الإنسانية  بمدنين",الإجازة  في الفرنسية54103
0,0,0,رياضيات,,
130.1816,108.6469,114.0174,علوم تجريبية,,
79.24,97.9264,0,إقتصاد وتصرف,,
127.1642,107.7419,0,العلوم التقنية,,
0,0,0,علوم الإعلامية,,
0,0,93.635,رياضة,,
79.0815,84.9267,77.9431,آداب,"جامعة قابسالمعهد العالي للعلوم الإنسانية  بمدنين",الإجازة  في الألمانية54106
0,0,167.925,رياضيات,,
141.4112,122.7879,132.3376,علوم تجريبية,,
84.2601,98.1012,83.8386,إقتصاد وتصرف,,
88.7786,0,116.63,العلوم التقنية,,
115.6456,0,0,علوم الإعلامية,,
