عدد;الرمز;اسم الشهادة بالعربية;المجال;nom certificat en français;مدة الدراسة;التخصصات;نوع البكالوريا;التنفيل الجغرافي;تتطلب اختبارات;لها شروط خاصة;المؤسسة;الجامعة;الولاية;صيغة مجموع النقاط;تفسير صيغة مجموع النقاط;الآفاق الجامعية;الآفاق المهنية;score2019;score2020;score2021;score2022;score2023;score2024;score2025
34;40101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بصفاقس;جامعة صفاقس;صفاقس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;81.79;76.19;90.62;88.56;89.45;81.7;84.82
35;40101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بصفاقس;جامعة صفاقس;صفاقس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;0;0;89.56
36;50101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;المعهد العالي للغات بقابس;جامعة قابس;قابس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;100.22;99.85;95.89;96.33;92.3;96.3;97.73
37;50101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;المعهد العالي للغات بقابس;جامعة قابس;قابس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;180.84;0;0
38;50101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;المعهد العالي للغات بقابس;جامعة قابس;قابس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;98.07;0;85.01;113.84;120.3;118.36;0
39;50101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للغات بقابس;جامعة قابس;قابس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;76.42;89.96;86.24;78.92;81.94;88.76
40;50101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;المعهد العالي للغات بقابس;جامعة قابس;قابس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;0;0;0
41;54101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;المعهد العالي للعلوم الإنسانية بمدنين;جامعة قابس;مدنين;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;79.03;94.63;86.39;88.92;84.61;90.84;95.22
42;54101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;المعهد العالي للعلوم الإنسانية بمدنين;جامعة قابس;مدنين;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;0;0;0
43;54101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;المعهد العالي للعلوم الإنسانية بمدنين;جامعة قابس;مدنين;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;101.15;0;108.46;112.98;0;110.01;156.54
44;54101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للعلوم الإنسانية بمدنين;جامعة قابس;مدنين;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;129.01;77.59;80.69;95.76;83.59
45;54101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;المعهد العالي للعلوم الإنسانية بمدنين;جامعة قابس;مدنين;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;88.5;0;0;0
46;60101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بقفصة;جامعة قفصة;قفصة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;80.77;95.15;93.29;87.12;87.48;89.11;96.51
47;60101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بقفصة;جامعة قفصة;قفصة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;0;0;0
48;60101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بقفصة;جامعة قفصة;قفصة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;84.3;0;102.1;101.67;100.1;109.71;119.34
49;60101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بقفصة;جامعة قفصة;قفصة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;96.06;0;86.47;87.08;85.87;91.73
50;60101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التطبيقية في الإنسانيات بقفصة;جامعة قفصة;قفصة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;0;80.67;82.96
51;70101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;75.51;82.56;85.24;84.76;87.58;84.57;90.38
52;70101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;0;0;0
53;70101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;81.88;103.34;95.38;91.01;111.04;89.55;105.16
54;70101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;88.41;77.91;78.57;75.11;85.71
55;70101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بالقيروان;جامعة القيروان;القيروان;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;0;0;0
